id;client_name;ordered_at;is_delivered;delivered_at
1;portal reboot;2024-06-24T03:30:24;false;2024-06-23T20:18:02
2;Peso Handcrafted;2024-06-23T21:24:25;true;2024-06-24T07:46:37
3;Keys online;2024-06-24T04:47:58;true;2024-06-24T12:23:07
4;HDD;2024-06-24T03:26:28;false;2024-06-23T22:39:44
5;Investment synergize;2024-06-23T22:01:01;true;2024-06-24T02:41:39
6;Oval Creek;2024-06-24T01:39:25;false;2024-06-24T16:01:47
7;Virginia Finland;2024-06-24T17:48:03;false;2024-06-24T00:14:44
8;Cotton olive Response;2024-06-24T05:20:45;true;2024-06-24T17:13:27
9;Grove client-server;2024-06-24T12:21:24;false;2024-06-24T17:10:33
10;Regional;2024-06-23T21:03:59;false;2024-06-24T08:34:46
